# redshift:0.05
# exponential:age:4.35
# exponential:tau:2.17
# exponential:massformed:9.65
# exponential:metallicity:0.25
# lognormal:tmax:3.5
# lognormal:fwhm:1.8
# lognormal:massformed:10.3
# lognormal:metallicity:1.25
# dust:type:Calzetti
# dust:Av:0.3
# dust:eta:3.0
# nebular:logU:-3.1
# t_bc:0.01
# veldisp:255.0
2.500000000000000000e+03 1.437223384753462620e-16 1.153656062976116853e-17
2.505000000000000000e+03 1.472953775876141623e-16 4.085728719305813658e-17
2.510000000000000000e+03 1.535971690886271353e-16 7.018827703090657654e-17
2.515000000000000000e+03 1.507928328333259167e-16 1.974633589797440545e-17
2.520000000000000000e+03 1.512060425490428596e-16 3.703945287278953904e-17
2.525000000000000000e+03 1.429747652218447101e-16 1.533345443196830040e-17
2.530000000000000000e+03 1.455626095758116592e-16 3.993216373277239450e-17
2.535000000000000000e+03 1.552814112127364277e-16 2.978739748120202276e-18
2.540000000000000000e+03 1.649559608966229632e-16 3.244955905193467027e-17
2.545000000000000000e+03 1.631761937059181972e-16 5.822270622261371330e-17
2.550000000000000000e+03 1.625226800034832516e-16 2.156646999093340822e-17
2.555000000000000000e+03 1.544821118656924639e-16 1.230926548299971811e-17
2.560000000000000000e+03 1.623567913388877378e-16 4.187020742275703533e-17
2.565000000000000000e+03 1.654471553105083982e-16 1.511174077901590108e-17
2.570000000000000000e+03 1.633105471987152456e-16 1.222155262425009676e-17
2.575000000000000000e+03 1.655254084737108239e-16 3.869962027831577226e-17
2.580000000000000000e+03 1.628075394706431243e-16 1.533947677827837016e-17
2.585000000000000000e+03 1.551854524782702531e-16 1.748131433942901693e-17
2.590000000000000000e+03 1.580912232307216326e-16 4.994246289112069852e-17
2.595000000000000000e+03 1.700421482814855547e-16 4.604042347627119079e-17
2.600000000000000000e+03 1.584484321136014848e-16 4.041293956070826091e-17
2.605000000000000000e+03 1.495720229468150701e-16 1.678408785852141056e-19
2.610000000000000000e+03 1.499745841109261124e-16 4.964745937706699878e-17
2.615000000000000000e+03 1.479958831379195601e-16 1.253213476292934176e-17
2.620000000000000000e+03 1.561235034621734698e-16 6.952583214830811202e-17
2.625000000000000000e+03 1.612248458147546729e-16 1.912523237611330914e-17
2.630000000000000000e+03 1.585706432313356531e-16 5.978054718277453306e-17
2.635000000000000000e+03 1.526439464731993735e-16 1.506913767836460186e-17
2.640000000000000000e+03 1.487495834981674488e-16 3.096160457615711741e-17
2.645000000000000000e+03 1.430402396258236836e-16 1.102985043934355543e-16
2.650000000000000000e+03 1.363040188430164454e-16 2.020119354450984889e-17
2.655000000000000000e+03 1.317302390048279363e-16 8.943475571769108231e-18
2.660000000000000000e+03 1.396800667126790464e-16 7.683483051878923557e-17
2.665000000000000000e+03 1.384846512385023866e-16 8.548923114719220802e-18
2.670000000000000000e+03 1.425908018473317582e-16 3.465625826280906445e-17
2.675000000000000000e+03 1.397910335555262486e-16 3.778522360581548291e-17
2.680000000000000000e+03 1.506551235034045285e-16 8.067530615201866205e-17
2.685000000000000000e+03 1.582690894400430582e-16 1.337024643815762331e-17
2.690000000000000000e+03 1.549735515970923724e-16 3.523388714048849163e-17
2.695000000000000000e+03 1.662529936755402504e-16 3.891758586642759782e-17
2.700000000000000000e+03 1.774613234100315050e-16 3.861278194818302536e-17
2.705000000000000000e+03 1.588547305980803868e-16 1.973967517966964522e-17
2.710000000000000000e+03 1.614226004617264195e-16 2.181506866823801517e-17
2.715000000000000000e+03 1.525785050241786403e-16 1.407953996184720011e-17
2.720000000000000000e+03 1.564390712328208563e-16 6.955004017974244664e-17
2.725000000000000000e+03 1.447370640608105037e-16 3.815856038025348890e-17
2.730000000000000000e+03 1.398096536163992183e-16 1.150564649621864097e-17
2.735000000000000000e+03 1.482806235920785039e-16 6.445475727917402966e-17
2.740000000000000000e+03 1.403837752289080692e-16 4.461650016030784483e-17
2.745000000000000000e+03 1.415248276380433848e-16 9.567390057827726664e-18
2.750000000000000000e+03 1.470255408600789070e-16 4.471845972448634373e-17
2.755000000000000000e+03 1.483632007776732794e-16 3.992359789029238066e-17
2.760000000000000000e+03 1.320331058496371709e-16 3.376520272046806702e-18
2.765000000000000000e+03 1.569246337250320571e-16 6.793303847872724810e-17
2.770000000000000000e+03 1.871484508849488493e-16 3.441347111964952849e-17
2.775000000000000000e+03 1.888183594432334894e-16 2.767418704780663990e-17
2.780000000000000000e+03 1.988751461330004158e-16 6.919762029749193836e-17
2.785000000000000000e+03 2.100906633298422116e-16 3.295487243920710816e-17
2.790000000000000000e+03 2.138615201989919734e-16 1.909738950826705842e-17
2.795000000000000000e+03 1.897410687336295906e-16 2.434113812522403641e-17
2.800000000000000000e+03 1.868045277368891333e-16 1.768078801170833096e-17
2.805000000000000000e+03 1.879260424338681647e-16 1.915481295619212934e-17
2.810000000000000000e+03 1.874613696587597689e-16 5.576471376824331533e-17
2.815000000000000000e+03 1.970332706428783458e-16 2.300477317670064767e-17
2.820000000000000000e+03 1.957276022514530425e-16 2.540391439493228850e-17
2.825000000000000000e+03 1.801104888718721495e-16 3.534939929344665459e-17
2.830000000000000000e+03 1.806972841745935390e-16 2.901256299236290849e-17
2.835000000000000000e+03 1.849015050990746998e-16 1.351821411835022581e-17
2.840000000000000000e+03 1.759862952168766748e-16 3.005478060964593888e-18
2.845000000000000000e+03 1.803937823892246689e-16 8.421416863981108838e-17
2.850000000000000000e+03 1.732185632633264834e-16 3.177471943987726196e-19
2.855000000000000000e+03 1.552144654462706160e-16 4.783780018629740349e-17
